"filename", "language", "Python", "comment", "blank", "total"
"/home/sarvesh/DSA/Algorithms/search_algorithms/linear_search.py", "Python", 6, 0, 1, 7
"/home/sarvesh/DSA/Algorithms/sorting_algorithms/bubble_sort.py", "Python", 6, 0, 2, 8
"/home/sarvesh/DSA/Algorithms/sorting_algorithms/insertion_sort.py", "Python", 9, 0, 1, 10
"/home/sarvesh/DSA/DS/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/DS/linked_lists/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/DS/linked_lists/linked_list.py", "Python", 274, 0, 74, 348
"/home/sarvesh/DSA/DS/linked_lists/linked_list_nodes.py", "Python", 9, 0, 2, 11
"/home/sarvesh/DSA/DS/queues/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/DS/queues/queue.py", "Python", 28, 1, 5, 34
"/home/sarvesh/DSA/DS/stacks/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/DS/stacks/stack.py", "Python", 33, 2, 5, 40
"/home/sarvesh/DSA/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/algo_driver_code/search_algo_driver_code/driver_linear_search.py", "Python", 8, 0, 3, 11
"/home/sarvesh/DSA/algo_driver_code/sorting_algo_driver_code/driver_bubble_sort.py", "Python", 4, 0, 3, 7
"/home/sarvesh/DSA/algo_driver_code/sorting_algo_driver_code/driver_insertion_sort.py", "Python", 4, 0, 3, 7
"/home/sarvesh/DSA/ds_apps/stack_apps/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/ds_apps/stack_apps/parentheses_check.py", "Python", 20, 0, 7, 27
"/home/sarvesh/DSA/ds_apps/stack_apps/reverse_list.py", "Python", 8, 0, 5, 13
"/home/sarvesh/DSA/ds_driver_code/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/ds_driver_code/driver_linked_lists/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/ds_driver_code/driver_linked_lists/driver_circular_ll.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/ds_driver_code/driver_linked_lists/driver_simple_ll.py", "Python", 71, 0, 17, 88
"/home/sarvesh/DSA/ds_driver_code/driver_queues/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/ds_driver_code/driver_queues/driver_queue.py", "Python", 36, 0, 4, 40
"/home/sarvesh/DSA/ds_driver_code/driver_stack_apps/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/ds_driver_code/driver_stack_apps/driver_parentheses_check.py", "Python", 4, 0, 1, 5
"/home/sarvesh/DSA/ds_driver_code/driver_stacks/__init__.py", "Python", 0, 0, 1, 1
"/home/sarvesh/DSA/ds_driver_code/driver_stacks/driver_stack.py", "Python", 36, 0, 4, 40
"Total", "-", 556, 3, 149, 708